江西电信频道,#genre#
#3840x2160  南昌1
CCTV4K 超高清,http://115.153.232.67/PLTV/88888888/224/3221227073/106537394.smil/index.m3u8?fmt=ts2hls
CCTV4K 超高清,rtsp://115.153.232.67/PLTV/88888888/224/3221227073/106537394.smil
深圳卫视 4K,http://115.153.232.67/PLTV/88888888/224/3221225609/iptv7995.smil/index.m3u8?fmt=ts2hls
深圳卫视 4K,rtsp://115.153.232.67/PLTV/88888888/224/3221225609/iptv7995.smil
CCTV4K 超高清,http://115.153.232.67/PLTV/88888888/224/3221225615/iptv7998.smil/index.m3u8?fmt=ts2hls
CCTV4K 超高清,rtsp://115.153.232.67/PLTV/88888888/224/3221225615/iptv7998.smil
爱上4K,http://115.153.232.67/PLTV/88888888/224/3221227025/86502164.smil/index.m3u8?fmt=ts2hls
爱上4K,rtsp://115.153.232.67/PLTV/88888888/224/3221227025/86502164.smil
#1920x1080
CCTV-1 综合,http://115.153.232.67/PLTV/88888888/224/3221225699/iptv8040.smil/index.m3u8?fmt=ts2hls
CCTV-1 综合,rtsp://115.153.232.67/PLTV/88888888/224/3221225699/iptv8040.smil
CCTV-2 财经,http://115.153.232.67/PLTV/88888888/224/3221226825/59814584.smil/index.m3u8?fmt=ts2hls
CCTV-2 财经,rtsp://115.153.232.67/PLTV/88888888/224/3221226825/59814584.smil
CCTV-3 综艺,rtsp://115.153.232.67/PLTV/88888888/224/3221226841/63329606.smil
CCTV-3 综艺,rtsp://115.153.232.67/PLTV/88888888/224/3221226930/65406412.smil
CCTV-3 综艺,http://115.153.232.67/PLTV/88888888/224/3221226987/86440886.smil/index.m3u8?fmt=ts2hls
CCTV-3 综艺,rtsp://115.153.232.67/PLTV/88888888/224/3221226987/86440886.smil
CCTV-4 中文国际,http://115.153.232.67/PLTV/88888888/224/3221226838/59814684.smil/index.m3u8?fmt=ts2hls
CCTV-4 中文国际,rtsp://115.153.232.67/PLTV/88888888/224/3221226838/59814684.smil
CCTV-4 中文国际欧洲,http://115.153.232.67/PLTV/88888888/224/3221226964/77799053.smil/index.m3u8?fmt=ts2hls
CCTV-4 中文国际欧洲,rtsp://115.153.232.67/PLTV/88888888/224/3221226964/77799053.smil
CCTV-4 中文国际美洲,http://115.153.232.67/PLTV/88888888/224/3221226962/77799052.smil/index.m3u8?fmt=ts2hls
CCTV-4 中文国际美洲,rtsp://115.153.232.67/PLTV/88888888/224/3221226962/77799052.smil
CCTV-5+ 体育赛事,rtsp://115.153.232.67/PLTV/88888888/224/3221226976/85722488.smil
CCTV-5 体育,rtsp://115.153.232.67/PLTV/88888888/224/3221226852/63329574.smil
CCTV-5 体育,rtsp://115.153.232.67/PLTV/88888888/224/3221226907/65396401.smil
CCTV-6 电影,rtsp://115.153.232.67/PLTV/88888888/224/3221226843/63329570.smil
CCTV-6 电影,rtsp://115.153.232.67/PLTV/88888888/224/3221226909/65396493.smil
CCTV-7 国防军事,http://115.153.232.67/PLTV/88888888/224/3221226827/59814693.smil/index.m3u8?fmt=ts2hls
CCTV-7 国防军事,rtsp://115.153.232.67/PLTV/88888888/224/3221226827/59814693.smil
CCTV-8 电视剧,rtsp://115.153.232.67/PLTV/88888888/224/3221226854/63329578.smil
CCTV-8 电视剧,rtsp://115.153.232.67/PLTV/88888888/224/3221226911/65406606.smil
CCTV-9 纪录,http://115.153.232.67/PLTV/88888888/224/3221226840/59814699.smil/index.m3u8?fmt=ts2hls
CCTV-9 纪录,rtsp://115.153.232.67/PLTV/88888888/224/3221226840/59814699.smil
CCTV-10 科教,http://115.153.232.67/PLTV/88888888/224/3221226630/51813372.smil/index.m3u8?fmt=ts2hls
CCTV-10 科教,rtsp://115.153.232.67/PLTV/88888888/224/3221226630/51813372.smil
CCTV-11 戏曲,http://115.153.232.67/PLTV/88888888/224/3221226986/85722616.smil/index.m3u8?fmt=ts2hls
CCTV-11 戏曲,rtsp://115.153.232.67/PLTV/88888888/224/3221226986/85722616.smil
CCTV-12 社会与法,http://115.153.232.67/PLTV/88888888/224/3221226829/59814709.smil/index.m3u8?fmt=ts2hls
CCTV-12 社会与法,rtsp://115.153.232.67/PLTV/88888888/224/3221226829/59814709.smil
CCTV-13 新闻,http://115.153.232.67/PLTV/88888888/224/3221227037/87447722.smil/index.m3u8?fmt=ts2hls
CCTV-13 新闻,rtsp://115.153.232.67/PLTV/88888888/224/3221227037/87447722.smil
CCTV-14 少儿,http://115.153.232.67/PLTV/88888888/224/3221226634/51813368.smil/index.m3u8?fmt=ts2hls
CCTV-14 少儿,rtsp://115.153.232.67/PLTV/88888888/224/3221226634/51813368.smil
CCTV-15 音乐,http://115.153.232.67/PLTV/88888888/224/3221226988/85722541.smil/index.m3u8?fmt=ts2hls
CCTV-15 音乐,rtsp://115.153.232.67/PLTV/88888888/224/3221226988/85722541.smil
CCTV-16 奥林匹克,http://115.153.232.67/PLTV/88888888/224/3221227051/92603106.smil/index.m3u8?fmt=ts2hls
CCTV-16 奥林匹克,rtsp://115.153.232.67/PLTV/88888888/224/3221227051/92603106.smil
CCTV-16 奥林匹克,http://115.153.232.67/PLTV/88888888/224/3221225613/iptv7997.smil/index.m3u8?fmt=ts2hls
CCTV-16 奥林匹克,rtsp://115.153.232.67/PLTV/88888888/224/3221225613/iptv7997.smil
CCTV-17 农业农村,http://115.153.232.67/PLTV/88888888/224/3221226846/61397282.smil/index.m3u8?fmt=ts2hls
CCTV-17 农业农村,rtsp://115.153.232.67/PLTV/88888888/224/3221226846/61397282.smil
CCTV世界地理,http://115.153.232.67/PLTV/88888888/224/3221226965/86128966.smil/index.m3u8?fmt=ts2hls
CCTV世界地理,rtsp://115.153.232.67/PLTV/88888888/224/3221226965/86128966.smil
CCTV兵器科技,http://115.153.232.67/PLTV/88888888/224/3221227004/86132185.smil/index.m3u8?fmt=ts2hls
CCTV兵器科技,rtsp://115.153.232.67/PLTV/88888888/224/3221227004/86132185.smil
CCTV央视台球,http://115.153.232.67/PLTV/88888888/224/3221226955/86106661.smil/index.m3u8?fmt=ts2hls
CCTV央视台球,rtsp://115.153.232.67/PLTV/88888888/224/3221226955/86106661.smil
CCTV央视文化精品,http://115.153.232.67/PLTV/88888888/224/3221226957/86128679.smil/index.m3u8?fmt=ts2hls
CCTV央视文化精品,rtsp://115.153.232.67/PLTV/88888888/224/3221226957/86128679.smil
CCTV女性时尚,http://115.153.232.67/PLTV/88888888/224/3221226998/86128978.smil/index.m3u8?fmt=ts2hls
CCTV女性时尚,http://115.153.232.67/PLTV/88888888/224/3221226998/86128978.smil
CCTV怀旧剧场,http://115.153.232.67/PLTV/88888888/224/3221226996/86128881.smil/index.m3u8?fmt=ts2hls
CCTV怀旧剧场,rtsp://115.153.232.67/PLTV/88888888/224/3221226996/86128881.smil
CCTV电视指南,http://115.153.232.67/PLTV/88888888/224/3221226969/86129034.smil/index.m3u8?fmt=ts2hls
CCTV电视指南,rtsp://115.153.232.67/PLTV/88888888/224/3221226969/86129034.smil
CCTV第一剧场,http://115.153.232.67/PLTV/88888888/224/3221226961/86128891.smil/index.m3u8?fmt=ts2hls
CCTV第一剧场,rtsp://115.153.232.67/PLTV/88888888/224/3221226961/86128891.smil
CCTV风云剧场,http://115.153.232.67/PLTV/88888888/224/3221226963/86128874.smil/index.m3u8?fmt=ts2hls
CCTV风云剧场,rtsp://115.153.232.67/PLTV/88888888/224/3221226963/86128874.smil
CCTV风云足球,http://115.153.232.67/PLTV/88888888/224/3221227000/86128919.smil/index.m3u8?fmt=ts2hls
CCTV风云足球,rtsp://115.153.232.67/PLTV/88888888/224/3221227000/86128919.smil
CCTV风云音乐,http://115.153.232.67/PLTV/88888888/224/3221226994/86128897.smil/index.m3u8?fmt=ts2hls
CCTV风云音乐,rtsp://115.153.232.67/PLTV/88888888/224/3221226994/86128897.smil
CCTV高尔夫网球,http://115.153.232.67/PLTV/88888888/224/3221226967/86128985.smil/index.m3u8?fmt=ts2hls
CCTV高尔夫网球,rtsp://115.153.232.67/PLTV/88888888/224/3221226967/86128985.smil
CETV-1 综合教育,http://115.153.232.67/PLTV/88888888/224/3221226858/63768493.smil/index.m3u8?fmt=ts2hls
CETV-1 综合教育,rtsp://115.153.232.67/PLTV/88888888/224/3221226858/63768493.smil

CGTN,http://115.153.232.67/PLTV/88888888/224/3221226947/77798966.smil/index.m3u8?fmt=ts2hls
CGTN,rtsp://115.153.232.67/PLTV/88888888/224/3221226947/77798966.smil
CGTN俄语,http://115.153.232.67/PLTV/88888888/224/3221226966/77798997.smil/index.m3u8?fmt=ts2hls
CGTN俄语,rtsp://115.153.232.67/PLTV/88888888/224/3221226966/77798997.smil
CGTN法语,http://115.153.232.67/PLTV/88888888/224/3221226968/77799060.smil/index.m3u8?fmt=ts2hls
CGTN法语,rtsp://115.153.232.67/PLTV/88888888/224/3221226968/77799060.smil
CGTN纪录,http://115.153.232.67/PLTV/88888888/224/3221226960/77798993.smil/index.m3u8?fmt=ts2hls
CGTN纪录,rtsp://115.153.232.67/PLTV/88888888/224/3221226960/77798993.smil
CGTN西语,http://115.153.232.67/PLTV/88888888/224/3221226949/77798970.smil/index.m3u8?fmt=ts2hls
CGTN西语,rtsp://115.153.232.67/PLTV/88888888/224/3221226949/77798970.smil
CGTN阿语,http://115.153.232.67/PLTV/88888888/224/3221226951/77799001.smil/index.m3u8?fmt=ts2hls
CGTN阿语,rtsp://115.153.232.67/PLTV/88888888/224/3221226951/77799001.smil
CHC动作电影,http://115.153.232.67/PLTV/88888888/224/3221226992/86128817.smil/index.m3u8?fmt=ts2hls
CHC动作电影,rtsp://115.153.232.67/PLTV/88888888/224/3221226992/86128817.smil
CHC家庭影院,http://115.153.232.67/PLTV/88888888/224/3221226959/86128800.smil/index.m3u8?fmt=ts2hls
CHC家庭影院,rtsp://115.153.232.67/PLTV/88888888/224/3221226959/86128800.smil
